ID,Group,z,Lx
430033,RED,4.5875,nan
432776,RED,0.3755,nan
434118,RED,3.0938,nan
436688,RED,0.565,42.4640007019043
436694,RED,2.2218,nan
439937,RED,2.257,nan
441206,RED,2.6884,nan
441615,RED,3.1887,nan
441945,RED,1.3138,nan
444473,RED,2.1263,nan
445389,RED,1.0683,nan
446438,RED,2.929,nan
450233,RED,1.6996,nan
450661,RED,2.3419,nan
453243,RED,0.358,nan
453918,RED,2.7511,nan
455355,RED,2.0794,nan
457348,RED,2.1596,nan
459149,RED,3.1057,nan
464014,RED,2.9093,nan
466118,RED,2.3939,nan
466186,RED,0.4798,nan
467878,RED,2.6052,nan
469153,RED,1.3338,nan
475206,RED,0.43,nan
478338,RED,3.1467,nan
482650,RED,0.6974,nan
483000,RED,1.8265,nan
484342,RED,0.066,42.79484567910239
485106,RED,2.3641,nan
485550,RED,1.5765,nan
487846,RED,1.4253,nan
489390,RED,0.842,nan
489601,RED,0.7753,nan
491658,RED,1.2441,nan
492525,RED,0.37,42.08971393420153
500105,RED,2.7647,nan
500354,RED,1.9351,nan
502020,RED,2.6281,nan
503996,RED,0.9708,nan
509017,RED,2.7956,nan
509367,RED,3.1663,nan
512397,RED,2.1661,nan
515190,RED,3.9816,nan
520863,RED,1.2046,nan
520908,RED,3.5905,nan
521987,RED,1.6971,nan
524890,RED,3.0142,nan
526158,RED,4.1102,nan
530898,RED,2.8831,nan
534284,RED,0.85,nan
534652,RED,2.4457,nan
536268,RED,1.4764,nan
536362,RED,1.2563,nan
539350,RED,1.0114,nan
541777,RED,1.7268,nan
541867,RED,2.602,nan
541957,RED,2.7038,nan
542444,RED,1.2514,nan
542937,RED,2.0593,nan
543209,RED,0.2886,nan
543250,RED,0.9762,nan
543297,RED,0.353,41.89484415322348
544316,RED,2.2036,nan
546422,RED,0.9441,nan
547199,RED,1.4253,nan
548204,RED,2.5232,nan
556195,RED,2.4783,nan
558207,RED,1.7721,nan
560406,RED,2.1312,nan
560439,RED,3.5008,nan
560724,RED,1.142,nan
566537,RED,2.6207,nan
569840,RED,1.0255,nan
573530,RED,1.7847,nan
577243,RED,2.6266,nan
580386,RED,1.4706,nan
582580,RED,2.5246,nan
587450,RED,2.5449,nan
589074,RED,3.3559,nan
589289,RED,0.1582,nan
592619,RED,1.8086,nan
592950,RED,2.467,nan
594084,RED,1.4707,nan
596663,RED,1.4523,nan
598007,RED,1.0142,nan
600601,RED,2.1755,nan
603779,RED,1.873,nan
608176,RED,3.4285,nan
611907,RED,1.6469,nan
614402,RED,2.066,-inf
617270,RED,0.263,nan
617702,RED,1.6187,nan
618028,RED,3.5435,nan
618600,RED,1.7208,nan
624608,RED,2.565,nan
625792,RED,1.3987,nan
627449,RED,2.5529,nan
627823,RED,0.886,42.81999969482422
631511,RED,1.5169,nan
634499,RED,1.9929,nan
637404,RED,1.6787,nan
639429,RED,1.0135,nan
640026,RED,1.9021,nan
642407,RED,0.844,nan
643101,RED,0.27,nan
645978,RED,0.26,nan
646384,RED,0.426,nan
646790,RED,1.497,nan
656427,RED,2.097,nan
664407,RED,1.2122,nan
666570,RED,1.6548,nan
668515,RED,1.835,nan
669251,RED,1.094,nan
670310,RED,1.9866,nan
670392,RED,1.8065,nan
672635,RED,2.528,nan
673600,RED,0.9281,nan
677506,RED,1.7469,nan
679317,RED,2.543,nan
679793,RED,1.4212,nan
681106,RED,0.246,nan
683931,RED,1.467,nan
686231,RED,0.3903,nan
690669,RED,1.834,nan
691473,RED,0.3851,nan
692737,RED,0.59,nan
692950,RED,2.8525,nan
693220,RED,1.8097,nan
698831,RED,1.8074,nan
700004,RED,1.15,nan
700458,RED,1.5927,nan
705542,RED,2.1681,nan
706011,RED,1.1895,nan
709504,RED,0.3786,nan
720095,RED,2.3197,nan
721789,RED,1.331,nan
726507,RED,1.8236,nan
732463,RED,2.7116,nan
732491,RED,1.565,nan
734276,RED,2.5673,nan
746850,RED,1.7381,nan
747295,RED,0.6639,nan
747850,RED,3.3893,nan
748479,RED,1.2446,nan
750927,RED,1.3017,nan
754996,RED,2.5094,nan
755554,RED,1.8619,nan
761586,RED,0.4257,nan
765901,RED,0.7301,nan
766678,RED,1.4501,nan
768071,RED,2.7729,nan
773923,RED,1.6272,nan
775958,RED,1.4535,nan
776479,RED,1.4079,nan
779075,RED,1.5394,nan
780916,RED,1.6965,nan
784193,RED,2.8311,nan
785831,RED,2.7494,nan
785995,RED,2.6822,nan
793374,RED,1.995,nan
795129,RED,0.3701,nan
797542,RED,4.2427,nan
799025,RED,3.9959,nan
803529,RED,1.4528,nan
803627,RED,0.3116,nan
804344,RED,1.317,nan
804380,RED,1.519,nan
806151,RED,1.8693,nan
809278,RED,0.736,42.85014549071285
810210,RED,2.9358,nan
810667,RED,2.5724,nan
813637,RED,1.9393,nan
820694,RED,2.3874,nan
820975,RED,1.1208,nan
821415,RED,2.6557,nan
826524,RED,2.307,nan
827594,RED,1.209,nan
831151,RED,4.153,nan
831543,RED,3.1519,nan
831841,RED,1.773,nan
832262,RED,2.0107,nan
836198,RED,0.833,nan
837646,RED,1.3934,nan
840107,RED,0.5221,nan
841248,RED,0.7562,nan
841273,RED,2.9538,nan
842140,RED,3.0446,nan
842498,RED,1.426,nan
842737,RED,2.7759,nan
844527,RED,1.2433,nan
845256,RED,1.1416,nan
845473,RED,2.1067,nan
847062,RED,0.419,42.98484430581137
848905,RED,2.3551,nan
852184,RED,1.2739,nan
852430,RED,1.9105,nan
852812,RED,3.1724,nan
856938,RED,3.2686,nan
857299,RED,2.086,nan
858160,RED,2.9571,nan
863368,RED,1.2567,nan
865363,RED,1.871,nan
867476,RED,0.8431,nan
867695,RED,1.7719,nan
879229,RED,1.5641,nan
879816,RED,1.6425,nan
880811,RED,0.71,42.55308769203634
882859,RED,2.7623,nan
887727,RED,0.0238,nan
888580,RED,4.3732,nan
892772,RED,0.5093,nan
897425,RED,1.7781,nan
897459,RED,1.8155,nan
903144,RED,1.9315,nan
905046,RED,3.0417,nan
905280,RED,1.7878,nan
906724,RED,1.755,nan
909582,RED,2.8485,nan
913622,RED,1.7477,nan
913642,RED,1.2647,nan
915296,RED,3.1716,nan
915575,RED,2.6399,nan
915786,RED,1.7952,nan
915891,RED,2.0579,nan
915907,RED,1.4163,nan
922605,RED,0.4495,nan
922752,RED,2.3685,nan
922845,RED,2.9634,nan
923134,RED,0.7051,nan
924433,RED,2.2927,nan
925835,RED,2.9313,nan
926246,RED,1.4874,nan
926334,RED,1.6954,nan
928212,RED,1.6813,nan
929598,RED,0.47,nan
930709,RED,2.4021,nan
931754,RED,0.7178,nan
932000,RED,2.5996,nan
932061,RED,3.667,nan
933351,RED,0.933,nan
934325,RED,1.7926,nan
937060,RED,2.0789,nan
937529,RED,3.2073,nan
940208,RED,2.4417,nan
940652,RED,1.2605,nan
941159,RED,2.9114,nan
942882,RED,1.7397,nan
947828,RED,3.2316,nan
951838,RED,3.0082,nan
953566,RED,2.5451,nan
958752,RED,3.2765,nan
959121,RED,3.2148,nan
960163,RED,1.4476,nan
960955,RED,3.1461,nan
961361,RED,2.3653,nan
962023,RED,2.4893,nan
962990,RED,1.4369,nan
965936,RED,1.2612,nan
966326,RED,1.7868,nan
966600,RED,2.1748,nan
967157,RED,0.2269,nan
967345,RED,2.0183,nan
969164,RED,1.9497,nan
970723,RED,2.0282,nan
971058,RED,1.4467,nan
976376,RED,2.3529,nan
977204,RED,2.683,nan
977394,RED,1.9349,nan
979382,RED,0.4952,nan
982199,RED,1.1409,nan
986430,RED,0.9415,nan
987184,RED,3.1081,nan
991379,RED,1.802,nan
1006168,RED,1.103,nan
1009161,RED,1.277,nan
1036028,RED,1.501,nan
1037829,RED,1.129,nan
1043803,RED,1.097,nan
1043926,RED,0.934,42.84278052733937
100728,GRN,2.649,44.29383234542871
110707,GRN,1.5,43.56818151931876
123228,GRN,1.029,44.274845221338715
143648,GRN,1.766,44.01100158691406
145252,GRN,1.47,44.51484308510825
149081,GRN,1.242,43.42300033569336
150058,GRN,1.106,44.29484567910239
150214,GRN,0.851,44.30484400063559
155074,GRN,1.663,44.75484476357504
161349,GRN,0.977,44.07484445839926
164133,GRN,1.031,45.03484354287192
166981,GRN,2.455,45.154842474756684
167507,GRN,2.735,43.81654183154001
167601,GRN,0.285,43.524845221338715
169542,GRN,0.481,43.594844916162934
172592,GRN,1.24,43.558998107910156
172708,GRN,2.43,44.26346410421373
174129,GRN,0.504,43.184845068750825
177697,GRN,1.813,44.01932293449521
178236,GRN,2.203,44.614845373926606
179631,GRN,1.171,44.26484308510825
189307,GRN,2.278,44.183998107910156
191981,GRN,1.747,44.2048455265145
192185,GRN,2.275,44.844844916162934
192643,GRN,0.599,43.41484461098715
193212,GRN,1.361,44.424842932520356
200240,GRN,1.822,45.00484476357504
201389,GRN,1.239,43.36267720319041
201555,GRN,3.343,43.99113191565948
202984,GRN,1.757,44.9748421695809
205954,GRN,1.166,43.75594349186305
206533,GRN,1.982,44.40053193392494
208739,GRN,0.772,43.39890128867363
210704,GRN,1.668,43.980044620484335
212499,GRN,2.841,44.683124325802574
213360,GRN,2.255,44.55484400063559
215142,GRN,1.285,44.69484339028403
216708,GRN,1.13,43.27299880981445
217425,GRN,2.408,44.864845373926606
220551,GRN,1.941,44.50484476357504
223951,GRN,1.592,45.2248421695809
228670,GRN,2.389,44.85484323769614
229549,GRN,1.273,43.83480050901942
229938,GRN,1.617,44.26484308510825
231837,GRN,2.497,45.37484369545981
233605,GRN,0.748,43.7248421695809
233916,GRN,6.062,44.54399871826172
235265,GRN,0.521,43.63484201699301
238668,GRN,2.463,43.7006373113497
240362,GRN,0.893,44.084842779932465
241554,GRN,1.902,43.87300109863281
242550,GRN,0.694,43.64216341331453
244448,GRN,1.518,43.79484567910239
249669,GRN,1.317,44.53484354287192
253494,GRN,1.562,44.2048455265145
254070,GRN,1.233,44.274845221338715
254973,GRN,1.79,44.4548455265145
255148,GRN,2.101,44.924842932520356
255653,GRN,2.026,45.04484567910239
261602,GRN,0.878,43.614845373926606
262286,GRN,1.11,45.41484461098715
262516,GRN,0.865,44.01484308510825
263032,GRN,2.055,44.9548455265145
264041,GRN,1.662,43.549548119324115
264232,GRN,2.218,44.14484415322348
264418,GRN,2.276,44.81484232216879
264588,GRN,1.0,43.15700149536133
266013,GRN,1.71,44.62484369545981
266042,GRN,2.147,44.834842779932465
271177,GRN,2.107,43.369998931884766
274335,GRN,1.711,44.15376885321288
277467,GRN,2.581,44.21622728831055
278421,GRN,1.73,43.91452596758264
279879,GRN,2.577,44.32600021362305
279993,GRN,1.969,43.95504910688841
280322,GRN,1.752,43.758221106848126
280712,GRN,0.369,43.30484400063559
280768,GRN,1.659,43.88759545488484
280813,GRN,2.22,44.25484476357504
284147,GRN,1.772,44.244842627344575
284733,GRN,3.419,44.57536437535745
285283,GRN,2.498,44.53484354287192
285627,GRN,1.571,44.37484369545981
287239,GRN,1.35,44.584842779932465
289874,GRN,2.828,44.48484430581137
289891,GRN,1.625,44.57484445839926
293576,GRN,0.58,44.10484323769614
295934,GRN,2.766,44.434845068750825
295961,GRN,1.427,44.28484354287192
303691,GRN,3.176,44.98484430581137
305868,GRN,1.676,44.114845373926606
306476,GRN,1.9,44.75484476357504
307901,GRN,1.122,43.364013321421176
309585,GRN,2.612,45.404842474756684
310180,GRN,1.966,45.29484567910239
310591,GRN,0.885,44.2148438480477
311451,GRN,1.161,43.9648438480477
312003,GRN,1.44,44.7048455265145
314431,GRN,2.204,44.4548455265145
314830,GRN,1.593,44.614845373926606
316110,GRN,1.762,44.4648438480477
317570,GRN,0.785,44.4648438480477
317720,GRN,0.35,43.14484415322348
327470,GRN,1.115,44.32484445839926
328627,GRN,1.246,44.844844916162934
329628,GRN,2.298,43.71250830902282
330333,GRN,1.039,43.047000885009766
331013,GRN,1.165,44.32484445839926
333072,GRN,1.867,44.37484369545981
333082,GRN,2.113,44.85484323769614
333229,GRN,2.212,44.57484445839926
334369,GRN,2.028,44.81484232216879
336989,GRN,1.679,44.64484415322348
339381,GRN,0.957,43.864845373926606
339687,GRN,2.309,44.364845373926606
342325,GRN,1.441,43.82484445839926
342369,GRN,2.402,44.73484430581137
344843,GRN,1.214,44.274845221338715
345932,GRN,2.279,44.13484201699301
348345,GRN,0.735,43.31484232216879
350733,GRN,2.231,44.364845373926606
352454,GRN,1.507,45.39484415322348
353402,GRN,2.177,43.26599884033203
353591,GRN,2.085,44.4548455265145
358432,GRN,0.816,43.684845068750825
361705,GRN,1.351,44.424842932520356
364116,GRN,2.936,43.7859992980957
367739,GRN,1.824,43.82484445839926
368267,GRN,0.973,43.864845373926606
368360,GRN,1.661,44.37484369545981
371168,GRN,2.251,44.66484461098715
373275,GRN,2.853,44.4548455265145
374747,GRN,3.26,43.90505391502261
379302,GRN,2.483,43.52399826049805
379813,GRN,2.935,44.51484308510825
381137,GRN,2.021,44.614845373926606
381564,GRN,1.804,45.094844916162934
381621,GRN,1.376,43.517332591560276
383898,GRN,3.33,44.934845068750825
386177,GRN,1.147,44.04484567910239
386536,GRN,0.831,43.63484201699301
386731,GRN,3.571,45.085298335002655
388484,GRN,0.755,43.2148438480477
388646,GRN,1.342,44.57484445839926
390895,GRN,1.641,43.88494510929469
391416,GRN,2.531,44.424842932520356
391905,GRN,1.124,44.4648438480477
393765,GRN,1.673,44.41484461098715
393849,GRN,1.574,44.404842474756684
393866,GRN,1.784,44.9648438480477
397321,GRN,1.636,44.55484400063559
397900,GRN,0.444,43.82484445839926
398904,GRN,1.26,44.184845068750825
399685,GRN,2.162,44.005390345640016
400930,GRN,1.56,44.87484369545981
401148,GRN,0.971,44.16484461098715
402319,GRN,3.306,43.823001861572266
403419,GRN,0.971,43.524845221338715
404028,GRN,2.507,44.82484445839926
407347,GRN,2.234,44.184845068750825
408043,GRN,2.279,44.81484232216879
408440,GRN,1.666,44.51484308510825
408968,GRN,0.771,43.57484445839926
411160,GRN,1.493,44.524845221338715
412346,GRN,1.141,45.00484476357504
413642,GRN,1.009,43.674842932520356
414248,GRN,0.714,43.424842932520356
415440,GRN,1.361,43.81484232216879
417652,GRN,2.421,43.86000061035156
419216,GRN,2.22,44.684845068750825
419317,GRN,0.528,43.28484354287192
419634,GRN,3.567,45.25484476357504
420086,GRN,2.406,44.2248421695809
420622,GRN,1.764,44.594844916162934
422734,GRN,2.177,44.63484201699301
423522,GRN,2.377,43.625999450683594
424136,GRN,0.969,44.07484445839926
427683,GRN,2.15,43.79308717432167
428262,GRN,2.335,44.60484323769614
428823,GRN,2.403,43.853480473500056
429443,GRN,2.179,44.89484415322348
432314,GRN,1.187,44.35484323769614
433236,GRN,1.916,43.316001892089844
433662,GRN,1.363,43.2400016784668
434653,GRN,1.862,44.07484445839926
435741,GRN,2.452,43.542999267578125
437094,GRN,1.57,43.904842474756684
437924,GRN,1.55,43.34299850463867
438137,GRN,1.173,44.274845221338715
438627,GRN,1.067,44.684845068750825
440292,GRN,2.446,43.87699890136719
442236,GRN,1.537,44.23484430581137
443935,GRN,2.79,44.672579247911905
445486,GRN,2.911,44.434845068750825
446680,GRN,2.146,43.612998962402344
447171,GRN,1.784,44.41484461098715
447224,GRN,2.071,44.35484323769614
447837,GRN,2.439,44.57071292712145
448160,GRN,0.865,44.07484445839926
448282,GRN,2.347,44.62484369545981
448517,GRN,1.541,44.54484567910239
448782,GRN,2.497,45.07484445839926
448996,GRN,1.592,44.184845068750825
449276,GRN,1.679,44.7148438480477
449364,GRN,2.503,44.66484461098715
451179,GRN,2.825,43.87799835205078
452169,GRN,1.334,44.37484369545981
452901,GRN,1.786,43.83375521898591
454474,GRN,1.597,44.4748421695809
454916,GRN,1.697,43.9648438480477
455313,GRN,2.444,43.92471301867418
455603,GRN,2.231,44.94484339028403
456808,GRN,1.0,44.37484369545981
457171,GRN,1.332,43.66484461098715
459682,GRN,1.991,43.87334885640501
460965,GRN,1.518,44.26484308510825
461606,GRN,1.241,45.06484232216879
462238,GRN,2.218,43.67353807786699
462290,GRN,1.784,44.774845221338715
464309,GRN,1.806,44.38484201699301
465316,GRN,1.923,44.62484369545981
468408,GRN,1.268,44.16484461098715
468485,GRN,1.481,44.364845373926606
468771,GRN,1.776,44.07484445839926
469339,GRN,0.967,44.54484567910239
471626,GRN,2.283,44.57484445839926
471767,GRN,2.671,44.87484369545981
473114,GRN,2.498,45.05484400063559
477125,GRN,1.947,44.12484369545981
481172,GRN,1.753,45.094844916162934
481664,GRN,1.95,44.38484201699301
485277,GRN,1.48,44.87484369545981
485406,GRN,1.85,44.91484461098715
486220,GRN,3.499,44.64484415322348
490038,GRN,1.178,44.48484430581137
490692,GRN,1.429,44.75484476357504
491819,GRN,2.198,44.4748421695809
492534,GRN,0.55,43.31484232216879
494577,GRN,0.669,44.174842932520356
495324,GRN,1.356,44.55484400063559
496985,GRN,1.808,44.844844916162934
496988,GRN,1.247,43.14252660845178
497397,GRN,0.84,43.78484354287192
498351,GRN,1.471,43.4461239941932
498569,GRN,2.016,44.44484339028403
499247,GRN,1.195,43.94484339028403
500252,GRN,2.206,44.73484430581137
500438,GRN,1.01,43.4748421695809
502241,GRN,0.904,43.834842779932465
502297,GRN,1.883,44.4748421695809
502321,GRN,2.018,44.87484369545981
502554,GRN,2.325,44.19484339028403
503415,GRN,1.725,44.154842474756684
505102,GRN,1.091,43.4748421695809
505480,GRN,1.984,44.57484445839926
506033,GRN,0.619,43.10484323769614
506854,GRN,0.552,43.434845068750825
507179,GRN,2.65,43.832000732421875
508514,GRN,2.668,44.48484430581137
510152,GRN,1.226,44.2148438480477
510223,GRN,1.379,44.80484400063559
510871,GRN,3.01,44.4648438480477
512384,GRN,3.148,44.42942612200148
512778,GRN,1.452,43.47767064308584
512840,GRN,2.029,44.79484567910239
513984,GRN,3.32,44.7148438480477
514705,GRN,2.802,44.934845068750825
516101,GRN,2.902,44.88484201699301
516147,GRN,2.404,44.9548455265145
516177,GRN,1.234,44.31484232216879
516922,GRN,1.236,44.98484430581137
517617,GRN,2.047,43.77920324167902
519447,GRN,1.129,43.75484476357504
521908,GRN,1.921,44.62484369545981
526106,GRN,2.269,44.51484308510825
528135,GRN,1.923,43.85384815552954
529336,GRN,2.323,45.04484567910239
529584,GRN,2.182,43.66372464212436
529855,GRN,0.36,43.4548455265145
530363,GRN,1.053,43.91484461098715
530790,GRN,2.288,45.03484354287192
532786,GRN,2.214,44.136531994960094
533666,GRN,0.899,43.924842932520356
534026,GRN,1.914,44.674842932520356
534119,GRN,1.213,43.9748421695809
534850,GRN,1.845,43.9748421695809
536630,GRN,2.572,44.10599899291992
536673,GRN,1.727,43.4838497699567
537774,GRN,2.164,44.56484232216879
538906,GRN,2.194,44.69484339028403
539583,GRN,0.985,44.00484476357504
543535,GRN,0.961,44.28484354287192
544769,GRN,2.392,43.702999114990234
547352,GRN,1.297,44.364845373926606
549557,GRN,2.159,44.64484415322348
549676,GRN,0.838,43.44484339028403
551947,GRN,1.478,44.524845221338715
553928,GRN,1.826,44.57484445839926
556169,GRN,1.298,44.07484445839926
556928,GRN,1.53,43.834842779932465
558647,GRN,3.328,44.834842779932465
559688,GRN,2.844,43.88399887084961
565978,GRN,1.527,44.69484339028403
567121,GRN,1.817,44.4748421695809
567452,GRN,1.156,45.28484354287192
568506,GRN,1.927,44.184845068750825
569318,GRN,2.415,44.91484461098715
569893,GRN,1.214,44.38484201699301
570129,GRN,3.086,44.924842932520356
570880,GRN,1.565,43.357843266708336
571753,GRN,1.249,43.30400085449219
571990,GRN,2.592,45.04484567910239
572384,GRN,1.47,44.80484400063559
572704,GRN,0.879,43.89484415322348
575696,GRN,1.18,44.864845373926606
576870,GRN,0.979,44.364845373926606
577692,GRN,1.976,43.774713474087385
577999,GRN,0.66,43.73484430581137
579415,GRN,2.592,44.00248137855585
580231,GRN,2.435,44.25484476357504
580861,GRN,0.838,43.56484232216879
580884,GRN,1.657,43.82484445839926
581105,GRN,2.091,44.274845221338715
582749,GRN,3.225,44.3489990234375
585366,GRN,0.827,43.7248421695809
585642,GRN,2.887,45.16484461098715
586341,GRN,1.26,44.07484445839926
586685,GRN,1.515,44.38484201699301
587486,GRN,1.55,43.66886685948573
592667,GRN,1.204,44.39484415322348
592797,GRN,3.497,44.80484400063559
593404,GRN,0.686,43.57484445839926
594434,GRN,0.948,43.904842474756684
595487,GRN,1.841,44.774845221338715
599948,GRN,1.258,44.31484232216879
600384,GRN,3.233,44.27233116316622
605445,GRN,3.09,44.55484400063559
606414,GRN,2.022,44.29484567910239
608549,GRN,2.149,43.69300079345703
609017,GRN,1.024,45.25484476357504
613328,GRN,2.146,44.434845068750825
613543,GRN,2.611,45.154842474756684
616159,GRN,1.64,43.647523403495775
616983,GRN,0.936,43.9748421695809
617775,GRN,1.406,44.56484232216879
619550,GRN,1.729,44.39484415322348
620323,GRN,1.72,43.81206370843263
623618,GRN,1.271,44.024845221338715
624239,GRN,2.483,44.44484339028403
624284,GRN,2.536,43.595001220703125
624526,GRN,0.882,44.13484201699301
625004,GRN,2.485,44.674842932520356
629776,GRN,1.43,44.4548455265145
630435,GRN,2.174,43.9548455265145
630484,GRN,1.433,44.7048455265145
630503,GRN,0.697,43.41475944371837
631272,GRN,2.454,44.904842474756684
631339,GRN,2.45,44.69484339028403
632339,GRN,2.673,43.89699935913086
633300,GRN,2.213,45.174842932520356
635245,GRN,2.946,44.23271365719285
635784,GRN,2.2,45.10484323769614
635862,GRN,0.55,43.864845373926606
636324,GRN,2.71,44.313096258725416
640145,GRN,2.944,44.76484308510825
640360,GRN,1.638,44.244842627344575
640443,GRN,1.064,44.7248421695809
641847,GRN,1.433,43.76484308510825
643223,GRN,2.104,44.202348799641356
643313,GRN,1.54,43.6349983215332
643480,GRN,0.85,44.23484430581137
643581,GRN,1.368,43.56599995396088
644795,GRN,1.841,44.28484354287192
648114,GRN,2.522,44.492000579833984
648173,GRN,1.843,43.590999603271484
648762,GRN,2.937,45.38484201699301
652010,GRN,2.076,44.39484415322348
654576,GRN,1.099,44.31484232216879
656621,GRN,3.345,44.89484415322348
657703,GRN,2.748,44.41484461098715
661442,GRN,1.796,44.89484415322348
662715,GRN,1.633,44.15230231514374
663103,GRN,1.598,45.19484339028403
663735,GRN,3.178,45.584842779932465
665479,GRN,2.15,44.79484567910239
665603,GRN,1.082,43.674842932520356
666394,GRN,0.518,44.184845068750825
666872,GRN,0.838,44.094844916162934
672158,GRN,1.113,43.344844916162934
673312,GRN,0.751,44.63484201699301
674119,GRN,0.346,44.32484445839926
675269,GRN,1.295,44.78484354287192
676097,GRN,0.894,44.26484308510825
676685,GRN,1.264,44.274845221338715
676717,GRN,1.948,43.49300003051758
677305,GRN,2.152,43.91584230323075
677692,GRN,0.731,43.7248421695809
678533,GRN,1.454,45.03484354287192
678793,GRN,2.45,44.54484567910239
679413,GRN,2.459,44.274845221338715
680726,GRN,2.179,44.69484339028403
681237,GRN,1.202,44.10484323769614
681303,GRN,2.255,44.494842627344575
683219,GRN,1.137,43.834842779932465
684158,GRN,1.09,44.084842779932465
684508,GRN,2.42,44.154842474756684
687071,GRN,1.588,43.38600158691406
687898,GRN,2.155,43.729000091552734
688136,GRN,1.708,44.834842779932465
688457,GRN,2.044,44.85484323769614
689518,GRN,0.792,43.32484445839926
689768,GRN,1.964,44.844844916162934
690687,GRN,2.049,44.09400177001953
690971,GRN,3.015,44.44484339028403
692655,GRN,0.731,43.62484369545981
694697,GRN,5.496,44.86138933855994
695445,GRN,1.376,44.614845373926606
695834,GRN,2.663,44.143980448615004
698041,GRN,2.646,44.89484415322348
698738,GRN,1.185,44.81484232216879
698983,GRN,1.097,44.344844916162934
699088,GRN,3.375,44.5989990234375
701418,GRN,2.501,44.934845068750825
703122,GRN,1.936,44.55484400063559
